--------------------------------------------------------------------------------
Process Log at Mon Dec 16 00:48:04 2019
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 8, 'username': None, 'name': 'winlogon.exe', 'vms': 2.9609375}
{'pid': 96, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.6953125}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 10.88671875}
{'pid': 436, 'username': None, 'name': 'smss.exe', 'vms': 1.140625}
{'pid': 664, 'username': None, 'name': 'csrss.exe', 'vms': 2.0703125}
{'pid': 768, 'username': None, 'name': 'wininit.exe', 'vms': 1.41796875}
{'pid': 776, 'username': None, 'name': 'csrss.exe', 'vms': 2.41796875}
{'pid': 796, 'username': None, 'name': 'GoogleCrashHandler.exe', 'vms': 1.77734375}
{'pid': 804, 'username': None, 'name': 'GoogleCrashHandler64.exe', 'vms': 1.80078125}
{'pid': 840, 'username': None, 'name': 'services.exe', 'vms': 5.21875}
{'pid': 848, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'vms': 7.53515625}
{'pid': 852, 'username': None, 'name': 'lsass.exe', 'vms': 7.3203125}
{'pid': 884, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 2.48828125}
{'pid': 908, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 2.92578125}
{'pid': 976, 'username': None, 'name': 'svchost.exe', 'vms': 0.94921875}
{'pid': 1000, 'username': None, 'name': 'svchost.exe', 'vms': 13.12109375}
{'pid': 1052, 'username': None, 'name': 'svchost.exe', 'vms': 8.45703125}
{'pid': 1100, 'username': None, 'name': 'svchost.exe', 'vms': 2.46875}
{'pid': 1160, 'username': None, 'name': 'dwm.exe', 'vms': 61.90234375}
{'pid': 1180, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Video.UI.exe', 'vms': 21.3515625}
{'pid': 1212, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 30.30078125}
{'pid': 1284, 'username': None, 'name': 'svchost.exe', 'vms': 2.609375}
{'pid': 1352, 'username': None, 'name': 'svchost.exe', 'vms': 2.1640625}
{'pid': 1376, 'username': None, 'name': 'svchost.exe', 'vms': 2.1640625}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 2.44140625}
{'pid': 1464, 'username': None, 'name': 'svchost.exe', 'vms': 6.28515625}
{'pid': 1484, 'username': None, 'name': 'svchost.exe', 'vms': 2.68359375}
{'pid': 1580, 'username': None, 'name': 'wsc_proxy.exe', 'vms': 2.53515625}
{'pid': 1588, 'username': None, 'name': 'svchost.exe', 'vms': 14.40234375}
{'pid': 1656, 'username': None, 'name': 'XtuService.exe', 'vms': 54.0703125}
{'pid': 1668, 'username': None, 'name': 'svchost.exe', 'vms': 2.7890625}
{'pid': 1720, 'username': None, 'name': 'svchost.exe', 'vms': 5.375}
{'pid': 1732, 'username': None, 'name': 'svchost.exe', 'vms': 2.71875}
{'pid': 1816, 'username': None, 'name': 'svchost.exe', 'vms': 2.36328125}
{'pid': 1848, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 3.0078125}
{'pid': 1892, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 10.98828125}
{'pid': 2000, 'username': None, 'name': 'svchost.exe', 'vms': 2.3828125}
{'pid': 2008, 'username': None, 'name': 'svchost.exe', 'vms': 1.2890625}
{'pid': 2016, 'username': None, 'name': 'svchost.exe', 'vms': 1.95703125}
{'pid': 2024, 'username': None, 'name': 'svchost.exe', 'vms': 4.578125}
{'pid': 2072, 'username': None, 'name': 'svchost.exe', 'vms': 2.078125}
{'pid': 2112, 'username': None, 'name': 'Memory Compression', 'vms': 0.07421875}
{'pid': 2148, 'username': None, 'name': 'svchost.exe', 'vms': 1.9375}
{'pid': 2216, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.81640625}
{'pid': 2228, 'username': None, 'name': 'svchost.exe', 'vms': 3.16015625}
{'pid': 2288, 'username': None, 'name': 'svchost.exe', 'vms': 6.02734375}
{'pid': 2356, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 24.58203125}
{'pid': 2372, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.22265625}
{'pid': 2432, 'username': None, 'name': 'svchost.exe', 'vms': 2.93359375}
{'pid': 2464, 'username': None, 'name': 'AvastSvc.exe', 'vms': 162.453125}
{'pid': 2468, 'username': None, 'name': 'svchost.exe', 'vms': 2.34375}
{'pid': 2512, 'username': None, 'name': 'svchost.exe', 'vms': 1.95703125}
{'pid': 2520, 'username': None, 'name': 'svchost.exe', 'vms': 1.75}
{'pid': 2576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvcontainer.exe', 'vms': 7.6796875}
{'pid': 2660, 'username': None, 'name': 'svchost.exe', 'vms': 1.69921875}
{'pid': 2680, 'username': None, 'name': 'svchost.exe', 'vms': 3.21875}
{'pid': 2800, 'username': None, 'name': 'svchost.exe', 'vms': 1.8359375}
{'pid': 2808, 'username': None, 'name': 'svchost.exe', 'vms': 2.58203125}
{'pid': 2820, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'explorer.exe', 'vms': 84.30078125}
{'pid': 2940, 'username': None, 'name': 'svchost.exe', 'vms': 2.44140625}
