--------------------------------------------------------------------------------
Process Log at Mon Dec 16 09:52:43 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.1953125}
{'name': 'fontdrvhost.exe', 'pid': 100, 'username': None, 'vms': 1.6015625}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 13.46875}
{'name': 'smss.exe', 'pid': 460, 'username': None, 'vms': 1.19140625}
{'name': 'winlogon.exe', 'pid': 652, 'username': None, 'vms': 2.72265625}
{'name': 'csrss.exe', 'pid': 668, 'username': None, 'vms': 2.26953125}
{'name': 'wininit.exe', 'pid': 772, 'username': None, 'vms': 1.67578125}
{'name': 'csrss.exe', 'pid': 780, 'username': None, 'vms': 2.51953125}
{'name': 'fontdrvhost.exe', 'pid': 840, 'username': None, 'vms': 1.83203125}
{'name': 'services.exe', 'pid': 844, 'username': None, 'vms': 5.61328125}
{'name': 'lsass.exe', 'pid': 864, 'username': None, 'vms': 8.25}
{'name': 'svchost.exe', 'pid': 980, 'username': None, 'vms': 0.953125}
{'name': 'svchost.exe', 'pid': 1004, 'username': None, 'vms': 12.87109375}
{'name': 'jhi_service.exe', 'pid': 1012, 'username': None, 'vms': 1.5625}
{'name': 'svchost.exe', 'pid': 1060, 'username': None, 'vms': 8.03125}
{'name': 'svchost.exe', 'pid': 1112, 'username': None, 'vms': 2.58203125}
{'name': 'dwm.exe', 'pid': 1168, 'username': None, 'vms': 47.28515625}
{'name': 'svchost.exe', 'pid': 1280, 'username': None, 'vms': 2.02734375}
{'name': 'svchost.exe', 'pid': 1312, 'username': None, 'vms': 2.96484375}
{'name': 'svchost.exe', 'pid': 1356, 'username': None, 'vms': 2.87890625}
{'name': 'svchost.exe', 'pid': 1392, 'username': None, 'vms': 1.53125}
{'name': 'svchost.exe', 'pid': 1400, 'username': None, 'vms': 2.26953125}
