--------------------------------------------------------------------------------
Process Log at Mon Dec 16 09:54:18 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.1953125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 100, 'vms': 1.6015625}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 13.26953125}
{'name': 'smss.exe', 'username': None, 'pid': 460, 'vms': 1.19140625}
{'name': 'winlogon.exe', 'username': None, 'pid': 652, 'vms': 2.72265625}
{'name': 'csrss.exe', 'username': None, 'pid': 668, 'vms': 2.21875}
{'name': 'wininit.exe', 'username': None, 'pid': 772, 'vms': 1.67578125}
{'name': 'csrss.exe', 'username': None, 'pid': 780, 'vms': 2.5234375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 840, 'vms': 1.89453125}
{'name': 'services.exe', 'username': None, 'pid': 844, 'vms': 5.5625}
{'name': 'lsass.exe', 'username': None, 'pid': 864, 'vms': 8.22265625}
{'name': 'svchost.exe', 'username': None, 'pid': 980, 'vms': 0.953125}
{'name': 'svchost.exe', 'username': None, 'pid': 1004, 'vms': 12.87109375}
{'name': 'jhi_service.exe', 'username': None, 'pid': 1012, 'vms': 1.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 1060, 'vms': 8.0390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1112, 'vms': 2.609375}
{'name': 'dwm.exe', 'username': None, 'pid': 1168, 'vms': 42.09765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1280, 'vms': 2.02734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1312, 'vms': 2.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 1356, 'vms': 2.87890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1392, 'vms': 1.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 1400, 'vms': 2.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 1412, 'vms': 6.91796875}
