--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:37:00 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'pid': 100, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.57421875}
{'pid': 120, 'name': 'Registry', 'username': None, 'vms': 11.37109375}
{'pid': 200, 'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 39.234375}
{'pid': 232, 'name': 'svchost.exe', 'username': None, 'vms': 2.78125}
{'pid': 440, 'name': 'smss.exe', 'username': None, 'vms': 1.12890625}
{'pid': 532, 'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.6796875}
{'pid': 668, 'name': 'csrss.exe', 'username': None, 'vms': 1.921875}
{'pid': 672, 'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.72265625}
{'pid': 768, 'name': 'wininit.exe', 'username': None, 'vms': 1.69140625}
{'pid': 840, 'name': 'services.exe', 'username': None, 'vms': 5.90234375}
{'pid': 856, 'name': 'lsass.exe', 'username': None, 'vms': 8.39453125}
{'pid': 916, 'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.58203125}
{'pid': 980, 'name': 'svchost.exe', 'username': None, 'vms': 0.94140625}
{'pid': 1004, 'name': 'svchost.exe', 'username': None, 'vms': 17.21875}
{'pid': 1060, 'name': 'svchost.exe', 'username': None, 'vms': 10.05859375}
{'pid': 1108, 'name': 'svchost.exe', 'username': None, 'vms': 2.875}
{'pid': 1124, 'name': 'svchost.exe', 'username': None, 'vms': 5.36328125}
{'pid': 1388, 'name': 'svchost.exe', 'username': None, 'vms': 2.65625}
{'pid': 1436, 'name': 'svchost.exe', 'username': None, 'vms': 2.2421875}
{'pid': 1444, 'name': 'svchost.exe', 'username': None, 'vms': 1.78125}
{'pid': 1460, 'name': 'svchost.exe', 'username': None, 'vms': 15.28125}
{'pid': 1488, 'name': 'svchost.exe', 'username': None, 'vms': 4.97265625}
{'pid': 1508, 'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 122.1640625}
{'pid': 1512, 'name': 'svchost.exe', 'username': None, 'vms': 7.03515625}
