--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:47:30 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.19921875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 100, 'vms': 1.57421875}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 11.75}
{'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 200, 'vms': 40.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 232, 'vms': 2.59765625}
{'name': 'smss.exe', 'username': None, 'pid': 440, 'vms': 1.12890625}
{'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 532, 'vms': 21.78515625}
{'name': 'csrss.exe', 'username': None, 'pid': 668, 'vms': 1.921875}
{'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 672, 'vms': 4.76953125}
{'name': 'wininit.exe', 'username': None, 'pid': 768, 'vms': 1.69140625}
{'name': 'services.exe', 'username': None, 'pid': 840, 'vms': 5.8984375}
{'name': 'lsass.exe', 'username': None, 'pid': 856, 'vms': 8.69921875}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 916, 'vms': 16.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 980, 'vms': 0.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1004, 'vms': 17.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1060, 'vms': 10.09765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1108, 'vms': 2.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1124, 'vms': 5.30859375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1332, 'vms': 17.98828125}
{'name': 'svchost.exe', 'username': None, 'pid': 1388, 'vms': 2.671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1436, 'vms': 2.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1444, 'vms': 1.79296875}
{'name': 'svchost.exe', 'username': None, 'pid': 1460, 'vms': 14.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1488, 'vms': 4.90234375}
