--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:49:03 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'name': 'fontdrvhost.exe', 'pid': 100, 'username': None, 'vms': 1.57421875}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 11.75390625}
{'name': 'OneDrive.exe', 'pid': 200, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.26171875}
{'name': 'svchost.exe', 'pid': 232, 'username': None, 'vms': 2.59765625}
{'name': 'smss.exe', 'pid': 440, 'username': None, 'vms': 1.12890625}
{'name': 'ShellExperienceHost.exe', 'pid': 532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 21.75}
{'name': 'csrss.exe', 'pid': 668, 'username': None, 'vms': 1.921875}
{'name': 'RAVCpl64.exe', 'pid': 672, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.76953125}
{'name': 'wininit.exe', 'pid': 768, 'username': None, 'vms': 1.69140625}
{'name': 'services.exe', 'pid': 840, 'username': None, 'vms': 5.98046875}
{'name': 'lsass.exe', 'pid': 856, 'username': None, 'vms': 8.69921875}
{'name': 'AvastUI.exe', 'pid': 916, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.58203125}
{'name': 'svchost.exe', 'pid': 980, 'username': None, 'vms': 0.94140625}
{'name': 'svchost.exe', 'pid': 1004, 'username': None, 'vms': 17.234375}
{'name': 'svchost.exe', 'pid': 1060, 'username': None, 'vms': 10.09765625}
{'name': 'svchost.exe', 'pid': 1108, 'username': None, 'vms': 2.90625}
{'name': 'svchost.exe', 'pid': 1124, 'username': None, 'vms': 5.30859375}
{'name': 'chrome.exe', 'pid': 1332, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.98828125}
{'name': 'svchost.exe', 'pid': 1388, 'username': None, 'vms': 2.671875}
{'name': 'svchost.exe', 'pid': 1436, 'username': None, 'vms': 2.23046875}
{'name': 'svchost.exe', 'pid': 1444, 'username': None, 'vms': 1.79296875}
{'name': 'svchost.exe', 'pid': 1460, 'username': None, 'vms': 14.875}
{'name': 'svchost.exe', 'pid': 1488, 'username': None, 'vms': 4.90234375}
{'name': 'SearchUI.exe', 'pid': 1508, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 135.97265625}
{'name': 'svchost.exe', 'pid': 1512, 'username': None, 'vms': 7.0859375}
{'name': 'SearchFilterHost.exe', 'pid': 1528, 'username': None, 'vms': 1.53515625}
{'name': 'svchost.exe', 'pid': 1548, 'username': None, 'vms': 2.20703125}
