--------------------------------------------------------------------------------
Process Log at Sun Feb 23 11:10:05 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.21875}
{'name': 'WWAHost.exe', 'pid': 96, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 27.8828125}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 11.265625}
{'name': 'smss.exe', 'pid': 440, 'username': None, 'vms': 1.15234375}
{'name': 'winlogon.exe', 'pid': 488, 'username': None, 'vms': 2.58984375}
{'name': 'svchost.exe', 'pid': 656, 'username': None, 'vms': 6.16015625}
{'name': 'csrss.exe', 'pid': 664, 'username': None, 'vms': 2.0234375}
{'name': 'SystemSettingsBroker.exe', 'pid': 684, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.8203125}
{'name': 'wininit.exe', 'pid': 768, 'username': None, 'vms': 1.3515625}
{'name': 'csrss.exe', 'pid': 776, 'username': None, 'vms': 2.38671875}
{'name': 'services.exe', 'pid': 840, 'username': None, 'vms': 5.4921875}
{'name': 'svchost.exe', 'pid': 848, 'username': None, 'vms': 4.35546875}
{'name': 'lsass.exe', 'pid': 856, 'username': None, 'vms': 8.26953125}
{'name': 'fontdrvhost.exe', 'pid': 872, 'username': None, 'vms': 3.4765625}
{'name': 'svchost.exe', 'pid': 884, 'username': None, 'vms': 4.0859375}
{'name': 'svchost.exe', 'pid': 968, 'username': None, 'vms': 0.95703125}
{'name': 'svchost.exe', 'pid': 992, 'username': None, 'vms': 14.03125}
{'name': 'fontdrvhost.exe', 'pid': 1016, 'username': None, 'vms': 1.6953125}
{'name': 'svchost.exe', 'pid': 1044, 'username': None, 'vms': 10.13671875}
{'name': 'svchost.exe', 'pid': 1096, 'username': None, 'vms': 2.8125}
{'name': 'dwm.exe', 'pid': 1152, 'username': None, 'vms': 70.80859375}
{'name': 'svchost.exe', 'pid': 1252, 'username': None, 'vms': 2.62890625}
{'name': 'svchost.exe', 'pid': 1276, 'username': None, 'vms': 3.35546875}
{'name': 'svchost.exe', 'pid': 1292, 'username': None, 'vms': 2.12109375}
{'name': 'svchost.exe', 'pid': 1324, 'username': None, 'vms': 2.171875}
{'name': 'aswidsagent.exe', 'pid': 1340, 'username': None, 'vms': 35.4453125}
{'name': 'Memory Compression', 'pid': 1392, 'username': None, 'vms': 0.11328125}
{'name': 'chrome.exe', 'pid': 1404, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 70.1484375}
{'name': 'ShellExperienceHost.exe', 'pid': 1408, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.55859375}
